ICHI code	Title	Index term	Include note	Action flag	Expanded index with include note	Warning	Comments	Original full index terms	Original full include notes			Flag	Delete index term	Review index term									Original Title	Original index term
		Percutaneous balloon dilation of mitral valve		S									FALSE	FALSE										Percutaneous balloon dilation of mitral valve
		Percutaneous balloon mitral valvuloplasty		I									FALSE	FALSE										Percutaneous balloon mitral valvuloplasty
HDF.MK.AB	Thoracoscopic repair of mitral valve							Minimally invasive mitral valve repair; Thorascopic elongation of chordae tendineae; Thorascopic mitral cord lengthening, NOS; Thorascopic repair of mitral valve annulus without graft					FALSE	FALSE									Thoracoscopic repair of mitral valve	
		Minimally invasive mitral valve repair		I									FALSE	FALSE										Minimally invasive mitral valve repair
		Thorascopic elongation of chordae tendineae		I									FALSE	FALSE										Thorascopic elongation of chordae tendineae
		Thorascopic mitral cord lengthening, NOS		I									FALSE	FALSE										Thorascopic mitral cord lengthening, NOS
		Thorascopic repair of mitral valve annulus without graft		I									FALSE	FALSE										Thorascopic repair of mitral valve annulus without graft
HDG.LA.AA	Occlusion of the pulmonary valve							Pulmonary valve closure-oversewing; Pulmonary valve oversewing					FALSE	FALSE									Occlusion of the pulmonary valve	
		Pulmonary valve closure-oversewing		I									FALSE	FALSE										Pulmonary valve closure-oversewing
		Pulmonary valve oversewing		I									FALSE	FALSE										Pulmonary valve oversewing
HDG.LG.AA	Dilatation of pulmonary valve by transventricular approach							Closed pulmonary valvotomy; Dilation of pulmonary valve					FALSE	FALSE									Dilatation of pulmonary valve by transventricular approach	
		Closed pulmonary valvotomy		I									FALSE	FALSE										Closed pulmonary valvotomy
		Dilation of pulmonary valve by transventricular approach		S									FALSE	FALSE										Dilation of pulmonary valve
HDG.LG.AF	Percutaneous transluminal dilatation of pulmonary valve							Percutaneous transluminal balloon dilation of pulmonary valve					FALSE	FALSE									Percutaneous transluminal dilatation of pulmonary valve	
		Percutaneous transluminal balloon dilation of pulmonary valve		I									FALSE	FALSE										Percutaneous transluminal balloon dilation of pulmonary valve
HDG.LH.AF	Percutaneous transluminal dilatation with insertion of device in pulmonary valve							Percutaneous transluminal dilation and insertion of stent in pulmonary valve					FALSE	FALSE									Percutaneous transluminal dilatation with insertion of device in pulmonary valve	
		Percutaneous transluminal dilation and insertion of stent in pulmonary valve		I									FALSE	FALSE										Percutaneous transluminal dilation and insertion of stent in pulmonary valve
HDG.MK.AF	Percutaneous transluminal repair of pulmonary valve							Perforation and dilation of pulmonary valve, percutaneous transluminal; Pulmonary valvar transluminal perforation and dilation; Transluminal laser pulmonary valvotomy; Transluminal radiofrequency pulmonary valvar perforation					FALSE	FALSE									Percutaneous transluminal repair of pulmonary valve	
		Percutaneous transluminal perforation and dilation of pulmonary valve		I									FALSE	FALSE										Perforation and dilation of pulmonary valve, percutaneous transluminal
		Pulmonary valvar transluminal perforation and dilation		I									FALSE	FALSE										Pulmonary valvar transluminal perforation and dilation
		Transluminal laser pulmonary valvotomy		I									FALSE	FALSE										Transluminal laser pulmonary valvotomy
		Transluminal radiofrequency pulmonary valvar perforation		I									FALSE	FALSE										Transluminal radiofrequency pulmonary valvar perforation
HDH.KA.AF	Percutaneous transluminal implantation of tricuspid valve in prosthetic valve							Percutaneous:; transcatheter tricuspid valve-in-valve replacement; transluminal tricuspid valve-in-valve replacement					FALSE	FALSE									Percutaneous transluminal implantation of tricuspid valve in prosthetic valve	
		Percutaneous transcatheter tricuspid valve-in-valve replacement		I									FALSE	FALSE										Percutaneous transcatheter tricuspid valve-in-valve replacement
		Percutaneous transluminal tricuspid valve-in-valve replacement		I									FALSE	FALSE										Percutaneous transluminal tricuspid valve-in-valve replacement
HDH.LB.AA	Reattachment of tricupid subvalvar apparatus							Reconstruction of tricupid subvalvar apparatus; Tricuspid subvalvar apparatus procedure; Reattachment of tricuspid papillary muscle; Replacement of tricuspid chordae tendinae with polytetrafluorethylene suture; Replacement of tricuspid chordae tendinae with PTFE suture; Resuture of prosthesis of tricuspid valve; Tricuspid chordal reconstruction; Tricuspid papillary muscle lengthening procedure; Tricuspid papillary muscle translocation					FALSE	FALSE									Reattachment of tricupid subvalvar apparatus	
		Reconstruction of tricupid subvalvar apparatus		I									FALSE	FALSE										Reconstruction of tricupid subvalvar apparatus
		Tricuspid subvalvar apparatus procedure		I									FALSE	FALSE										Tricuspid subvalvar apparatus procedure
		Reattachment of tricuspid papillary muscle		I									FALSE	FALSE										Reattachment of tricuspid papillary muscle
		Replacement of tricuspid chordae tendinae with polytetrafluorethylene suture		I									FALSE	FALSE										Replacement of tricuspid chordae tendinae with polytetrafluorethylene suture
		Replacement of tricuspid chordae tendinae with PTFE suture		I									FALSE	FALSE										Replacement of tricuspid chordae tendinae with PTFE suture
		Resuture of prosthesis of tricuspid valve		I									FALSE	FALSE										Resuture of prosthesis of tricuspid valve
		Tricuspid chordal reconstruction		I									FALSE	FALSE										Tricuspid chordal reconstruction
		Tricuspid papillary muscle lengthening procedure		I									FALSE	FALSE										Tricuspid papillary muscle lengthening procedure
		Tricuspid papillary muscle translocation		I									FALSE	FALSE										Tricuspid papillary muscle translocation
HDH.LG.AF	Percutaneous transluminal dilatation of tricuspid valve							Percutaneous transluminal balloon dilation of tricuspid valve					FALSE	FALSE									Percutaneous transluminal dilatation of tricuspid valve	
		Percutaneous transluminal balloon dilation of tricuspid valve		I									FALSE	FALSE										Percutaneous transluminal balloon dilation of tricuspid valve
HDM.FB.AA	Division of congenital valve malformation							Division of:; chordae tendinae of congenital valve malformation; papillary muscle of congenital valve malformation; subvalvar apparatus of congenital valve malformation					FALSE	FALSE									Division of congenital valve malformation	
		Division of chordae tendinae of congenital valve malformation		I									FALSE	FALSE										Division of chordae tendinae of congenital valve malformation
		Division of papillary muscle of congenital valve malformation		I									FALSE	FALSE										Division of papillary muscle of congenital valve malformation
		Division of subvalvar apparatus of congenital valve malformation		I									FALSE	FALSE										Division of subvalvar apparatus of congenital valve malformation
HDM.LB.AA	Reattachment of congenital malformed valve							Reattachment of:; papillary muscle of congenital valve malformation; subvalvular apparatus or structure of congenital valve malformation					FALSE	FALSE									Reattachment of congenital malformed valve	
		Reattachment of papillary muscle of congenital valve malformation		I									FALSE	FALSE										Reattachment of papillary muscle of congenital valve malformation
		Reattachment of subvalvular apparatus or structure of congenital valve malformation		I									FALSE	FALSE										Reattachment of subvalvular apparatus or structure of congenital valve malformation
HDM.LG.AF	Percutaneous transluminal dilatation of congenital valve malformation							Percutaneous transluminal balloon dilation of truncal valve					FALSE	FALSE									Percutaneous transluminal dilatation of congenital valve malformation	
		Percutaneous transluminal balloon dilation of truncal valve		I									FALSE	FALSE										Percutaneous transluminal balloon dilation of truncal valve
HFA.FA.AA	Incision of endocardium							Cardiac myotomy					FALSE	FALSE									Incision of endocardium	
		Cardiac myotomy		I									FALSE	FALSE										Cardiac myotomy
HFB.MK.AA	Repair of atrioventricular septal defect							Repair atrioventricular canal, NOS; Repair of atrioventricular septal defect by direct suture; Repair of endocardial cushion defect; Repair of AVSD, NOS; Repair ostium primum defect, NOS; Repair valvular defect associated with atrial and ventricular septal defect; Resuture of prosthesis of septum; Suture of atrioventricular septum					FALSE	FALSE									Repair of atrioventricular septal defect	
		Repair atrioventricular canal, NOS		I									FALSE	FALSE										Repair atrioventricular canal, NOS
		Repair of atrioventricular septal defect by direct suture		I									FALSE	FALSE										Repair of atrioventricular septal defect by direct suture
		Repair of endocardial cushion defect		I									FALSE	FALSE										Repair of endocardial cushion defect
		Repair of AVSD, NOS		S									FALSE	FALSE										Repair of AVSD, NOS
		Repair ostium primum defect, NOS		I									FALSE	FALSE										Repair ostium primum defect, NOS
		Repair valvular defect associated with atrial and ventricular septal defect		I									FALSE	FALSE										Repair valvular defect associated with atrial and ventricular septal defect
		Resuture of prosthesis of septum		I									FALSE	FALSE										Resuture of prosthesis of septum
		Suture of atrioventricular septum		I									FALSE	FALSE										Suture of atrioventricular septum
HFC.AF.AF	Electrophysiological study of heart							Cardiac mapping; Electrophysiological study of heart with three dimensional mapping; Electrophysiological study of heart with three dimensional non-contact endocardial mapping; EPS of heart					FALSE	FALSE									Electrophysiological study of heart	
		Cardiac mapping		I									FALSE	FALSE										Cardiac mapping
		Electrophysiological study of heart with three dimensional mapping		I									FALSE	FALSE										Electrophysiological study of heart with three dimensional mapping
		Electrophysiological study of heart with three dimensional non-contact endocardial mapping		I									FALSE	FALSE										Electrophysiological study of heart with three dimensional non-contact endocardial mapping
		EPS of heart		S									FALSE	FALSE										EPS of heart
HFC.DL.AF	Percutaneous transluminal insertion of temporary pacemaker system							Insertion of temporary transvenous pacemaker lead or device; Insertion of temporary pacemaker used during and immediately following transluminal cardiac procedure					FALSE	FALSE									Percutaneous transluminal insertion of temporary pacemaker system	
		Insertion of temporary transvenous pacemaker lead or device		I									FALSE	FALSE										Insertion of temporary transvenous pacemaker lead or device
		Insertion of temporary pacemaker used during and immediately following transluminal cardiac procedure		I									FALSE	FALSE										Insertion of temporary pacemaker used during and immediately following transluminal cardiac procedure
HFC.JD.AA	Removal of pacemaker system							Removal of:; CRT-P; cardiac resynchronization pacemaker device without replacement; complete implanted cardiac pacemaker system; implantable cardioverter & defibrillator (ICD) system; pacemaker device					FALSE	FALSE									Removal of pacemaker system	
		Removal of CRT-P		I									FALSE	FALSE										Removal of CRT-P
		Removal of cardiac resynchronization pacemaker device without replacement		I									FALSE	FALSE										Removal of cardiac resynchronization pacemaker device without replacement
		Removal of complete implanted cardiac pacemaker system		I									FALSE	FALSE										Removal of complete implanted cardiac pacemaker system
		Removal of implantable cardioverter & defibrillator (ICD) system		R			Split index terms					R?(WC)	FALSE	TRUE										Removal of implantable cardioverter & defibrillator (ICD) system
		Removal of pacemaker device		I									FALSE	FALSE										Removal of pacemaker device
HFC.KA.AA	Replacement of pacemaker system							Replacement of:; pacemaker-defibrillator generator; pulse generator box (battery) replacement					FALSE	FALSE									Replacement of pacemaker system	
		Replacement of pacemaker or defibrillator generator		I									FALSE	FALSE										Replacement of pacemaker-defibrillator generator
		Replacement of pulse generator box or battery		I									FALSE	FALSE										Replacement of pulse generator box (battery) replacement
HFC.KA.AF	Percutaneous transluminal replacement of pacemaker system							Removal of existing transvenous or epicardial lead with transvenous lead replacement; Replacement of automatic cardioverter or defibrillator lead only; Replacement of implanted pressure sensor lead or monitor; Replacement of transvenous atrial or ventricular lead or electrode					FALSE	FALSE									Percutaneous transluminal replacement of pacemaker system	
		Removal of existing transvenous or epicardial lead with transvenous lead replacement		I									FALSE	FALSE										Removal of existing transvenous or epicardial lead with transvenous lead replacement
		Replacement of automatic cardioverter or defibrillator lead only		I									FALSE	FALSE										Replacement of automatic cardioverter or defibrillator lead only
		Replacement of implanted pressure sensor lead or monitor		I									FALSE	FALSE										Replacement of implanted pressure sensor lead or monitor
		Replacement of transvenous atrial or ventricular lead or electrode		I									FALSE	FALSE										Replacement of transvenous atrial or ventricular lead or electrode
HFC.SC.AH	Conversion of cardiac rhythm							Atrial cardioversion and other electric countershock of heart; Carotid sinus stimulation; Conversion to sinus rhythm; Direct current cardioversion; DC cardioversion; Defibrillation to heart; External electrode stimulation; NIPS; Noninvasive programmed electrical stimulation					FALSE	FALSE									Conversion of cardiac rhythm	
		Atrial cardioversion and other electric countershock of heart		I									FALSE	FALSE										Atrial cardioversion and other electric countershock of heart
		Carotid sinus stimulation		I									FALSE	FALSE										Carotid sinus stimulation
		Conversion to sinus rhythm		I									FALSE	FALSE										Conversion to sinus rhythm
		Direct current cardioversion		I									FALSE	FALSE										Direct current cardioversion
		DC cardioversion		I									FALSE	FALSE										DC cardioversion
		Defibrillation to heart		I									FALSE	FALSE										Defibrillation to heart
		External electrode stimulation		I									FALSE	FALSE										External electrode stimulation
		NIPS		I									FALSE	FALSE										NIPS
		Noninvasive programmed electrical stimulation		I									FALSE	FALSE										Noninvasive programmed electrical stimulation
HFC.SN.AA	Management of pacemaker system							Repair of implantable pacemaker-defibrillator battery; Replacement or repair of implantable controller; Replacement of parts or repair of pacemaker device					FALSE	FALSE									Management of pacemaker system	
		Repair of implantable pacemaker or defibrillator battery		I									FALSE	FALSE										Repair of implantable pacemaker-defibrillator battery
		Replacement or repair of implantable controller		I									FALSE	FALSE										Replacement or repair of implantable controller
		Replacement of parts or repair of pacemaker device		I									FALSE	FALSE										Replacement of parts or repair of pacemaker device
HFC.SN.AH	Artificial pacemaker or cardioverter and defibrillator function check							AICD check; Artificial pacemaker voltage or ampage threshold check; Automatic implantable cardioverter or defibrillator check; Cardiac resynchronisation defibrillator check; Checking pacing thresholds of device; CRT-D check; Interrogation only without arrhythmia induction					FALSE	FALSE									Artificial pacemaker or cardioverter and defibrillator function check	
		AICD check		I									FALSE	FALSE										AICD check
		Artificial pacemaker voltage or ampage threshold check		I									FALSE	FALSE										Artificial pacemaker voltage or ampage threshold check
		Automatic implantable cardioverter or defibrillator check		I									FALSE	FALSE										Automatic implantable cardioverter or defibrillator check
		Cardiac resynchronisation defibrillator check		I									FALSE	FALSE										Cardiac resynchronisation defibrillator check
		Checking pacing thresholds of device		I									FALSE	FALSE										Checking pacing thresholds of device
		CRT-D check		I									FALSE	FALSE										CRT-D check
		Interrogation only without arrhythmia induction		I									FALSE	FALSE										Interrogation only without arrhythmia induction
HFD.AD.AA	Biopsy of myocardium, not elsewhere classified							Biopsy of heart NOS					FALSE	FALSE									Biopsy of myocardium, not elsewhere classified	
		Biopsy of heart, NOS		I									FALSE	FALSE										Biopsy of heart NOS
HFD.BA.BF	Single photon emission computerised tomography of myocardium							Combined stress and rest myocardial perfusion study with single photon emission computerised tomography; Combined stress and rest myocardial perfusion study with SPECT; Rest myocardial perfusion study with single photon emission computerised tomography; Rest myocardial perfusion study with SPECT; Stress myocardial perfusion study with single photon emission computerised tomography; Stress myocardial perfusion study with					FALSE	FALSE									Single photon emission computerised tomography of myocardium	
		Combined stress and rest myocardial perfusion study with single photon emission computerised tomography		I									FALSE	FALSE										Combined stress and rest myocardial perfusion study with single photon emission computerised tomography
		Combined stress and rest myocardial perfusion study with SPECT		I									FALSE	FALSE										Combined stress and rest myocardial perfusion study with SPECT
		Rest myocardial perfusion study with single photon emission computerised tomography		I									FALSE	FALSE										Rest myocardial perfusion study with single photon emission computerised tomography
		Rest myocardial perfusion study with SPECT		I									FALSE	FALSE										Rest myocardial perfusion study with SPECT
		Stress myocardial perfusion study with single photon emission computerised tomography		I									FALSE	FALSE										Stress myocardial perfusion study with single photon emission computerised tomography
		Stress myocardial perfusion study with SPECT		I									FALSE	FALSE										Stress myocardial perfusion study with
HFD.BA.BG	Positron emission computerised tomography of myocardium							PET of myocardium					FALSE	FALSE									Positron emission computerised tomography of myocardium	
		PET of myocardium		S									FALSE	FALSE										PET of myocardium
HFD.BA.BH	Magnetic resonance imaging of myocardium							Combined stress and rest myocardial perfusion study; MRI of myocardium; Myocardial perfusion study; Rest myocardial perfusion study; Stress myocardial perfusion study					FALSE	FALSE									Magnetic resonance imaging of myocardium	
		Combined stress and rest myocardial perfusion study		I									FALSE	FALSE										Combined stress and rest myocardial perfusion study
		MRI of myocardium		S									FALSE	FALSE										MRI of myocardium
		Myocardial perfusion study		I									FALSE	FALSE										Myocardial perfusion study
		Rest myocardial perfusion study		I									FALSE	FALSE										Rest myocardial perfusion study
		Stress myocardial perfusion study		I									FALSE	FALSE										Stress myocardial perfusion study
HFD.FA.AA	Transmyocardial revascularisation							Incision of myocardium, NOS; TMR; Transmyocardial laser revascularisation procedure					FALSE	FALSE									Transmyocardial revascularisation	
		Incision of myocardium, NOS		I									FALSE	FALSE										Incision of myocardium, NOS
		TMR		S									FALSE	FALSE										TMR
		Transmyocardial laser revascularisation procedure		I									FALSE	FALSE										Transmyocardial laser revascularisation procedure
HFD.FA.AB	Thoracoscopic transmyocardial revascularisation							Thoracoscopic transmyocardial laser revascularisation procedure					FALSE	FALSE									Thoracoscopic transmyocardial revascularisation	
		Thoracoscopic transmyocardial laser revascularisation procedure		I									FALSE	FALSE										Thoracoscopic transmyocardial laser revascularisation procedure
HFD.FA.AF	Percutaneous transmyocardial revascularisation							Endovascular transmyocardial revascularisation; PTMR; Percutaneous transmyocardial laser revascularisation procedure					FALSE	FALSE									Percutaneous transmyocardial revascularisation	
		Endovascular transmyocardial revascularisation		I									FALSE	FALSE										Endovascular transmyocardial revascularisation
		PTMR		S									FALSE	FALSE										PTMR
		Percutaneous transmyocardial laser revascularisation procedure		I									FALSE	FALSE										Percutaneous transmyocardial laser revascularisation procedure
HFD.ML.AA	Myocardial graft							Myocardial graft using mediastinal fat; Myocardial graft using omentum; Myocardial graft using pectoral muscles					FALSE	FALSE									Myocardial graft	
		Myocardial graft using mediastinal fat		I									FALSE	FALSE										Myocardial graft using mediastinal fat
		Myocardial graft using omentum		I									FALSE	FALSE										Myocardial graft using omentum
		Myocardial graft using pectoral muscles		I									FALSE	FALSE										Myocardial graft using pectoral muscles
HFF.DB.AA	Injection into the pericardium							Injection of therapeutic substance into pericardium					FALSE	FALSE									Injection into the pericardium	
		Injection of therapeutic substance into pericardium		I									FALSE	FALSE										Injection of therapeutic substance into pericardium
HFF.FA.AA	Pericardiotomy							Pericardial window operation; Pericardiotomy					FALSE	FALSE									Pericardiotomy	
		Pericardial window operation		I									FALSE	FALSE										Pericardial window operation
		Pericardiotomy		D									TRUE	FALSE										Pericardiotomy
HFF.FC.AA	Release of adhesions of pericardium							Lysis of adhesions of the pericardium; Pericardiac adhesiolysis; Pericardiolysis; Release of adhesions of the pericardium					FALSE	FALSE									Release of adhesions of pericardium	
		Lysis of adhesions of the pericardium		I									FALSE	FALSE										Lysis of adhesions of the pericardium
		Pericardiac adhesiolysis		I									FALSE	FALSE										Pericardiac adhesiolysis
		Pericardiolysis		I									FALSE	FALSE										Pericardiolysis
		Release of adhesions of the pericardium		D									TRUE	FALSE										Release of adhesions of the pericardium
HFF.JI.AA	Local excision of lesion of pericardium							Local excision of pericardial lesion					FALSE	FALSE									Local excision of lesion of pericardium	
		Local excision of pericardial lesion		S									FALSE	FALSE										Local excision of pericardial lesion
HFF.JJ.AA	Partial pericardiectomy							Excision of adhesions of pericardium constricting scar of epicardium; Excision of adhesions of pericardium constricting scar of pericardium; Subtotal pericardiectomy					FALSE	FALSE									Partial pericardiectomy	
		Excision of adhesions of pericardium constricting scar of epicardium		I									FALSE	FALSE										Excision of adhesions of pericardium constricting scar of epicardium
		Excision of adhesions of pericardium constricting scar of pericardium		I									FALSE	FALSE										Excision of adhesions of pericardium constricting scar of pericardium
		Subtotal pericardiectomy		I									FALSE	FALSE										Subtotal pericardiectomy
HFF.JJ.AB	Thorascopic partial pericardiectomy							Thorascopic:; excision of adhesions of pericardium constricting scar of epicardium; excision of adhesions of pericardium constricting scar of pericardium; partial excision of pericardium; subtotal pericardiectomy					FALSE	FALSE									Thorascopic partial pericardiectomy	
		Thorascopic excision of adhesions of pericardium constricting scar of epicardium		I									FALSE	FALSE										Thorascopic excision of adhesions of pericardium constricting scar of epicardium
		Thorascopic excision of adhesions of pericardium constricting scar of pericardium		I									FALSE	FALSE										Thorascopic excision of adhesions of pericardium constricting scar of pericardium
		Thorascopic partial excision of pericardium		I									FALSE	FALSE										Thorascopic partial excision of pericardium
		Thorascopic subtotal pericardiectomy		I									FALSE	FALSE										Thorascopic subtotal pericardiectomy
HFF.JK.AA	Total pericardiectomy							Complete pericardiectomy; Total excision of pericardium					FALSE	FALSE									Total pericardiectomy	
		Complete pericardiectomy		S									FALSE	FALSE										Complete pericardiectomy
		Total excision of pericardium		S									FALSE	FALSE										Total excision of pericardium
HFF.JK.AB	Thorascopic total pericardiectmy							Thorascopic:; complete excision of pericardium; total excision of pericardium					FALSE	FALSE									Thorascopic total pericardiectmy	
		Thorascopic complete excision of pericardium		S									FALSE	FALSE										Thorascopic complete excision of pericardium
		Thorascopic total excision of pericardium		S									FALSE	FALSE										Thorascopic total excision of pericardium
HIA.AB.AF	Intravascular pressure measurement of coronary arteries							Fractional flow reserve (FFR)					FALSE	FALSE									Intravascular pressure measurement of coronary arteries	
		Fractional flow reserve (FFR)		R			Split index terms					R?(WC)	FALSE	TRUE										Fractional flow reserve (FFR)
HIA.BA.AF	Intravascular imaging of coronary vessels							Intravascular imaging of coronary vessel by optical coherence tomography; Intravascular imaging of coronary vessel by OCT; Intravascular ultrasound of coronary vessels; IVUS of coronary vessels; Transluminal coronary angioscopy					FALSE	FALSE									Intravascular imaging of coronary vessels	
		Intravascular imaging of coronary vessel by optical coherence tomography		I									FALSE	FALSE										Intravascular imaging of coronary vessel by optical coherence tomography
		Intravascular imaging of coronary vessel by OCT		I									FALSE	FALSE										Intravascular imaging of coronary vessel by OCT
		Intravascular ultrasound of coronary vessels		I									FALSE	FALSE										Intravascular ultrasound of coronary vessels
		IVUS of coronary vessels		I									FALSE	FALSE										IVUS of coronary vessels
		Transluminal coronary angioscopy		I									FALSE	FALSE										Transluminal coronary angioscopy
HIA.JE.AF	Percutaneous transluminal coronary atherectomy							Percutaneous transluminal:; directional coronary atherectomy; rotational coronary atherectomy					FALSE	FALSE									Percutaneous transluminal coronary atherectomy	
		Percutaneous transluminal directional coronary atherectomy		I									FALSE	FALSE										Percutaneous transluminal directional coronary atherectomy
		Percutaneous transluminal rotational coronary atherectomy		I									FALSE	FALSE										Percutaneous transluminal rotational coronary atherectomy
HIA.MK.AA	Repair of coronary artery							Coronary arterial aneurysm repair by aneurysmorraphy; Coronary arterial laceration repair					FALSE	FALSE									Repair of coronary artery	
		Coronary arterial aneurysm repair by aneurysmorraphy		I									FALSE	FALSE										Coronary arterial aneurysm repair by aneurysmorraphy
		Coronary arterial laceration repair		I									FALSE	FALSE										Coronary arterial laceration repair
HIA.ML.AA	Reconstruction of coronary artery							Coronary artery aneurysm repair with graft or prosthesis					FALSE	FALSE									Reconstruction of coronary artery	
		Coronary artery aneurysm repair with graft or prosthesis		I									FALSE	FALSE										Coronary artery aneurysm repair with graft or prosthesis
HIB.AB.AF	Intravascular imaging of the superior vena cava							Intravascular ultrasound [IVUS] of superior vena cava					FALSE	FALSE									Intravascular imaging of the superior vena cava	
		Intravascular ultrasound [IVUS] of superior vena cava		R			Split index terms					R?(WC)	FALSE	TRUE										Intravascular ultrasound [IVUS] of superior vena cava
HIB.BA.BB	Angiocardiography of superior vena cava							Phlebography of superior vena cava; Superior vena cavography					FALSE	FALSE									Angiocardiography of superior vena cava	
		Phlebography of superior vena cava		I									FALSE	FALSE										Phlebography of superior vena cava
		Superior vena cavography		S									FALSE	FALSE										Superior vena cavography
HIB.JE.AA	Endarterectomy of superior vena cava							Thrombectomy of superior vena cava					FALSE	FALSE									Endarterectomy of superior vena cava	
		Thrombectomy of superior vena cava		S									FALSE	FALSE										Thrombectomy of superior vena cava
HIB.LA.AA	Occlusion of superior vena cava							Interruption of the superior vena cava; Ligation of superior caval vein; Ligation of superior vena cava					FALSE	FALSE									Occlusion of superior vena cava	
		Interruption of the superior vena cava		I									FALSE	FALSE										Interruption of the superior vena cava
		Ligation of superior caval vein		I									FALSE	FALSE										Ligation of superior caval vein
		Ligation of superior vena cava		I									FALSE	FALSE										Ligation of superior vena cava
HIB.LG.AF	Percutaneous transluminal dilatation of superior vena cava							Percutaneous transluminal balloon dilation of:; superior caval vein; superior vena cava					FALSE	FALSE									Percutaneous transluminal dilatation of superior vena cava	
		Percutaneous transluminal balloon dilation of superior caval vein		I									FALSE	FALSE										Percutaneous transluminal balloon dilation of superior caval vein
		Percutaneous transluminal balloon dilation of superior vena cava		I									FALSE	FALSE										Percutaneous transluminal balloon dilation of superior vena cava
HIB.LH.AF	Percutaneous dilatation with insertion of device into superior vena cava							Percutaneous transluminal dilation with insertion of stent into:; superior caval vein; superior vena cava					FALSE	FALSE									Percutaneous dilatation with insertion of device into superior vena cava	
		Percutaneous transluminal dilation with insertion of stent into superior caval vein		I									FALSE	FALSE										Percutaneous transluminal dilation with insertion of stent into superior caval vein
		Percutaneous transluminal dilation with insertion of stent into superior vena cava		I									FALSE	FALSE										Percutaneous transluminal dilation with insertion of stent into superior vena cava
HIB.ML.AA	Reconstruction of superior vena cava							Reconstruction of superior caval vein					FALSE	FALSE									Reconstruction of superior vena cava	
		Reconstruction of superior caval vein		S									FALSE	FALSE										Reconstruction of superior caval vein
HIC.AB.AF	Intravascular imaging of the inferior vena cava							Intravascular ultrasound [IVUS] of inferior vena cava					FALSE	FALSE									Intravascular imaging of the inferior vena cava	
		Intravascular ultrasound [IVUS] of inferior vena cava		R			Split index terms					R?(WC)	FALSE	TRUE										Intravascular ultrasound [IVUS] of inferior vena cava
HIC.BA.BB	Angiocardiography of inferior vena cava							Inferior vena cavography; Phlebography of inferior vena cava					FALSE	FALSE									Angiocardiography of inferior vena cava	
		Inferior vena cavography		S									FALSE	FALSE										Inferior vena cavography
		Phlebography of inferior vena cava		I									FALSE	FALSE										Phlebography of inferior vena cava
HIC.JE.AA	Endarterectomy of inferior vena cava							Thrombectomy of inferior vena cava					FALSE	FALSE									Endarterectomy of inferior vena cava	
		Thrombectomy of inferior vena cava		S									FALSE	FALSE										Thrombectomy of inferior vena cava
HIC.LA.AA	Occlusion of inferior vena cava							Interruption of the inferior vena cava; Ligation of inferior vena cava					FALSE	FALSE									Occlusion of inferior vena cava	
		Interruption of the inferior vena cava		I									FALSE	FALSE										Interruption of the inferior vena cava
		Ligation of inferior vena cava		I									FALSE	FALSE										Ligation of inferior vena cava
HIC.LG.AF	Percutaneous transluminal dilatation of inferior vena cava							Percutaneous transluminal balloon dilation of:; inferior caval vein; inferior vena cava					FALSE	FALSE									Percutaneous transluminal dilatation of inferior vena cava	
		Percutaneous transluminal balloon dilation of inferior caval vein		I									FALSE	FALSE										Percutaneous transluminal balloon dilation of inferior caval vein
		Percutaneous transluminal balloon dilation of inferior vena cava		I									FALSE	FALSE										Percutaneous transluminal balloon dilation of inferior vena cava
HIC.LH.AF	Percutaneous dilatation with insertion of device into inferior vena cava							Percutaneous transluminal dilation with insertion of stent into:; inferior caval vein; inferior vena cava					FALSE	FALSE									Percutaneous dilatation with insertion of device into inferior vena cava	
		Percutaneous transluminal dilation with insertion of stent into inferior caval vein		I									FALSE	FALSE										Percutaneous transluminal dilation with insertion of stent into inferior caval vein
		Percutaneous transluminal dilation with insertion of stent into inferior vena cava		I									FALSE	FALSE										Percutaneous transluminal dilation with insertion of stent into inferior vena cava
HIC.LI.AA	Total cavopulmonary connection completion							TCPC completion; Total cavopulmonary connection completion, lateral atrial tunnel; Total cavopulmonary connection completion using intra-extracardiac inferior caval vein to pulmonary artery conduit; Total cavopulmonary connection completion using transcatheter inferior to superior caval vein covered stent					FALSE	FALSE									Total cavopulmonary connection completion	
		TCPC completion		S									FALSE	FALSE										TCPC completion
		Total cavopulmonary connection completion, lateral atrial tunnel		I									FALSE	FALSE										Total cavopulmonary connection completion, lateral atrial tunnel
		Total cavopulmonary connection completion using intra-extracardiac inferior caval vein to pulmonary artery conduit		I									FALSE	FALSE										Total cavopulmonary connection completion using intra-extracardiac inferior caval vein to pulmonary artery conduit
		Total cavopulmonary connection completion using transcatheter inferior to superior caval vein covered stent		I									FALSE	FALSE										Total cavopulmonary connection completion using transcatheter inferior to superior caval vein covered stent
HID.FC.AA	Release of pulmonary artery band							Debanding of pulmonary artery; Pulmonary trunk band rerelease; Release of pulmonary arterial band					FALSE	FALSE									Release of pulmonary artery band	
		Debanding of pulmonary artery		I									FALSE	FALSE										Debanding of pulmonary artery
		Pulmonary trunk band rerelease		I									FALSE	FALSE										Pulmonary trunk band rerelease
		Release of pulmonary arterial band		I									FALSE	FALSE										Release of pulmonary arterial band
HID.LA.AA	Occlusion of pulmonary artery							Ligation of pulmonary artery					FALSE	FALSE									Occlusion of pulmonary artery	
		Ligation of pulmonary artery		I									FALSE	FALSE										Ligation of pulmonary artery
