ICHI code	Title	Index term	Include note	Action flag	Expanded index with include note	Warning	Action flag comments	Original full index terms	Original full include notes			Flag	Delete index term	Review index term									Original Title	Original Expanded index with include note
			homograft	D	Transluminal aortic valvar insertion with stent mounted valve via homograft								FALSE	FALSE										Transluminal aortic valvar insertion with stent mounted valve via homograft
			prosthesis mechanical	D	Transluminal aortic valvar insertion with stent mounted valve - prosthesis mechanical								FALSE	FALSE										Transluminal aortic valvar insertion with stent mounted valve - prosthesis mechanical
			prosthesis partial	D	Transluminal aortic valvar insertion with stent mounted valve - prosthesis partial								FALSE	FALSE										Transluminal aortic valvar insertion with stent mounted valve - prosthesis partial
			prosthesis synthetic	D	Transluminal aortic valvar insertion with stent mounted valve - prosthesis synthetic								FALSE	FALSE										Transluminal aortic valvar insertion with stent mounted valve - prosthesis synthetic
			prosthesis total	D	Transluminal aortic valvar insertion with stent mounted valve - prosthesis total								FALSE	FALSE										Transluminal aortic valvar insertion with stent mounted valve - prosthesis total
HDE.LG.AA	Dilatation of aortic valve by transventricular approach							Closed aortic valvotomy; Dilation of aortic valve	aortic valve commissure				FALSE	FALSE									Dilatation of aortic valve by transventricular approach	
			aortic valve commissure	I	Dilatation of aortic valve commissure by transventricular approach	Repeated words: [aortic, valve]							FALSE	FALSE										Dilatation of aortic valve by transventricular approach - aortic valve commissure
		Closed aortic valvotomy		I									FALSE	FALSE										
			aortic valve commissure	I	Closed aortic commissure valvotomy	Repeated words: [aortic]							FALSE	FALSE										Closed aortic valvotomy - aortic valve commissure
		Dilation of aortic valve		I									FALSE	FALSE										
			aortic valve commissure	I	Dilation of aortic valve commissure, NOS	Repeated words: [aortic, valve]							FALSE	FALSE										Dilation of aortic valve - aortic valve commissure
HDE.MK.AA	Repair of aortic valve								annuloplasty				FALSE	FALSE									Repair of aortic valve	
			annuloplasty	I	Aortic valve annuloplasty								FALSE	FALSE										Repair of aortic valve via annuloplasty
HDF.DN.AA	Replacement of mitral valve							Mitral valve repair converted to mitral valvar replacement; Reconstruction of mitral ring annulus; Repair of mitral valve with replacement, NOS; Repair of mitral valve with prosthesis	bioprosthesis; homograft; prosthesis:; mechanical; partial; synthetic; total				FALSE	FALSE									Replacement of mitral valve	
			bioprosthesis	I	Replacement of mitral valve with bioprosthesis								FALSE	FALSE										Replacement of mitral valve - bioprosthesis
			homograft	I	Replacement of mitral valve with homograft								FALSE	FALSE										Replacement of mitral valve with homograft
			prosthesis mechanical	I	Replacement of mitral valve with mechanical prosthesis								FALSE	FALSE										Replacement of mitral valve - prosthesis mechanical
			prosthesis partial	I	Replacement of mitral valve with prosthesis, NOS								FALSE	FALSE										Replacement of mitral valve - prosthesis partial
			prosthesis synthetic	D	Replacement of mitral valve - prosthesis synthetic								FALSE	FALSE										Replacement of mitral valve - prosthesis synthetic
			prosthesis total	D	Replacement of mitral valve - prosthesis total								FALSE	FALSE										Replacement of mitral valve - prosthesis total
		Mitral valve repair converted to mitral valvar replacement		I									FALSE	FALSE										
			bioprosthesis	I	Mitral valve repair converted to mitral valvar replacement with bioprosthesis	Repeated words: [Mitral]							FALSE	FALSE										Mitral valve repair converted to mitral valvar replacement - bioprosthesis
			homograft	I	Mitral valve repair converted to mitral valvar replacement with homograft	Repeated words: [Mitral]							FALSE	FALSE										Mitral valve repair converted to mitral valvar replacement with homograft
			prosthesis mechanical	I	Mitral valve repair converted to mitral valvar replacement with mechanical prosthesis 	Repeated words: [Mitral]							FALSE	FALSE										Mitral valve repair converted to mitral valvar replacement - prosthesis mechanical
			prosthesis partial	I	Mitral valve repair converted to mitral valvar replacement with prosthesis, NOS	Repeated words: [Mitral]							FALSE	FALSE										Mitral valve repair converted to mitral valvar replacement - prosthesis partial
			prosthesis synthetic	D	Mitral valve repair converted to mitral valvar replacement - prosthesis synthetic	Repeated words: [Mitral]							FALSE	FALSE										Mitral valve repair converted to mitral valvar replacement - prosthesis synthetic
			prosthesis total	D	Mitral valve repair converted to mitral valvar replacement - prosthesis total	Repeated words: [Mitral]							FALSE	FALSE										Mitral valve repair converted to mitral valvar replacement - prosthesis total
		Reconstruction of mitral ring annulus		I									FALSE	FALSE										
			bioprosthesis	D	Reconstruction of mitral ring annulus with bioprosthesis								FALSE	FALSE										Reconstruction of mitral ring annulus - bioprosthesis
			homograft	D	Reconstruction of mitral ring annulus with homograft								FALSE	FALSE										Reconstruction of mitral ring annulus with homograft
			prosthesis mechanical	D	Reconstruction of mitral ring annulus with mechanical prosthesis 								FALSE	FALSE										Reconstruction of mitral ring annulus - prosthesis mechanical
			prosthesis partial	D	Reconstruction of mitral ring annulus with prosthesis, NOS								FALSE	FALSE										Reconstruction of mitral ring annulus - prosthesis partial
			prosthesis synthetic	D	Reconstruction of mitral ring annulus - prosthesis synthetic								FALSE	FALSE										Reconstruction of mitral ring annulus - prosthesis synthetic
			prosthesis total	D	Reconstruction of mitral ring annulus - prosthesis total								FALSE	FALSE										Reconstruction of mitral ring annulus - prosthesis total
		Repair of mitral valve with replacement, NOS		I									FALSE	FALSE										
			bioprosthesis	D	Repair of mitral valve with replacement - bioprosthesis, NOS								FALSE	FALSE										Repair of mitral valve with replacement - bioprosthesis, NOS
			homograft	D	Repair of mitral valve with replacement via homograft, NOS								FALSE	FALSE										Repair of mitral valve with replacement via homograft, NOS
			prosthesis mechanical	D	Repair of mitral valve with replacement - prosthesis mechanical, NOS								FALSE	FALSE										Repair of mitral valve with replacement - prosthesis mechanical, NOS
			prosthesis partial	D	Repair of mitral valve with replacement - prosthesis partial, NOS								FALSE	FALSE										Repair of mitral valve with replacement - prosthesis partial, NOS
			prosthesis synthetic	D	Repair of mitral valve with replacement - prosthesis synthetic, NOS								FALSE	FALSE										Repair of mitral valve with replacement - prosthesis synthetic, NOS
			prosthesis total	D	Repair of mitral valve with replacement - prosthesis total, NOS								FALSE	FALSE										Repair of mitral valve with replacement - prosthesis total, NOS
		Repair of mitral valve with prosthesis		I									FALSE	FALSE										
			bioprosthesis	I	Repair of mitral valve with bioprosthesis								FALSE	FALSE										Repair of mitral valve with bioprosthesis
			homograft	I	Repair of mitral valve with homograft								FALSE	FALSE										Repair of mitral valve with prosthesis via homograft
			prosthesis mechanical	I	Repair of mitral valve with mechanical prosthesis								FALSE	FALSE										Repair of mitral valve with mechanical prosthesis
			prosthesis partial	I	Repair of mitral valve with prosthesis, NOS								FALSE	FALSE										Repair of mitral valve with partial prosthesis
			prosthesis synthetic	D	Repair of mitral valve with synthetic prosthesis								FALSE	FALSE										Repair of mitral valve with synthetic prosthesis
			prosthesis total	D	Repair of mitral valve with total prosthesis								FALSE	FALSE										Repair of mitral valve with total prosthesis
HDF.DN.AF	Percutaneous transluminal mitral valve replacement							Percutaneous transluminal repair of mitral valve with replacement, NOS; Percutaneous transluminal implantation of prosthetic mitral valve; Percutaneous transluminal reconstruction of mitral ring annulus; TMVR; Transcatheter mitral valve replacement, transluminal approach	prosthesis:; partial; synthetic; total				FALSE	FALSE									Percutaneous transluminal mitral valve replacement	
			prosthesis partial	I	Percutaneous transluminal mitral valve replacement with prosthesis 								FALSE	FALSE										Percutaneous transluminal mitral valve replacement - prosthesis partial
			prosthesis synthetic	D	Percutaneous transluminal mitral valve replacement - prosthesis synthetic								FALSE	FALSE										Percutaneous transluminal mitral valve replacement - prosthesis synthetic
			prosthesis total	D	Percutaneous transluminal mitral valve replacement - prosthesis total								FALSE	FALSE										Percutaneous transluminal mitral valve replacement - prosthesis total
		Percutaneous transluminal repair of mitral valve with replacement, NOS		I									FALSE	FALSE										
			prosthesis partial	I	Percutaneous transluminal repair of mitral valve with replacement prosthesis, NOS								FALSE	FALSE										Percutaneous transluminal repair of mitral valve with replacement - prosthesis partial, NOS
			prosthesis synthetic	D	Percutaneous transluminal repair of mitral valve with replacement - prosthesis synthetic, NOS								FALSE	FALSE										Percutaneous transluminal repair of mitral valve with replacement - prosthesis synthetic, NOS
			prosthesis total	D	Percutaneous transluminal repair of mitral valve with replacement - prosthesis total, NOS								FALSE	FALSE										Percutaneous transluminal repair of mitral valve with replacement - prosthesis total, NOS
		Percutaneous transluminal implantation of prosthetic mitral valve		I									FALSE	FALSE										
			prosthesis partial	D	Percutaneous transluminal implantation of prosthetic mitral valve - prosthesis partial								FALSE	FALSE										Percutaneous transluminal implantation of prosthetic mitral valve - prosthesis partial
			prosthesis synthetic	D	Percutaneous transluminal implantation of prosthetic mitral valve - prosthesis synthetic								FALSE	FALSE										Percutaneous transluminal implantation of prosthetic mitral valve - prosthesis synthetic
			prosthesis total	D	Percutaneous transluminal implantation of prosthetic mitral valve - prosthesis total								FALSE	FALSE										Percutaneous transluminal implantation of prosthetic mitral valve - prosthesis total
		Percutaneous transluminal reconstruction of mitral ring annulus		I									FALSE	FALSE										
			prosthesis partial	D	Percutaneous transluminal reconstruction of mitral ring annulus - prosthesis partial								FALSE	FALSE										Percutaneous transluminal reconstruction of mitral ring annulus - prosthesis partial
			prosthesis synthetic	D	Percutaneous transluminal reconstruction of mitral ring annulus - prosthesis synthetic								FALSE	FALSE										Percutaneous transluminal reconstruction of mitral ring annulus - prosthesis synthetic
			prosthesis total	D	Percutaneous transluminal reconstruction of mitral ring annulus - prosthesis total								FALSE	FALSE										Percutaneous transluminal reconstruction of mitral ring annulus - prosthesis total
		TMVR		I									FALSE	FALSE										
			prosthesis partial	I	TMVR with prosthesis 								FALSE	FALSE										TMVR - prosthesis partial
			prosthesis synthetic	D	TMVR - prosthesis synthetic								FALSE	FALSE										TMVR - prosthesis synthetic
			prosthesis total	D	TMVR - prosthesis total								FALSE	FALSE										TMVR - prosthesis total
		Transcatheter mitral valve replacement, transluminal approach		I									FALSE	FALSE										
			prosthesis partial	I	Transcatheter mitral valve replacement with prosthesis, transluminal approach								FALSE	FALSE										Transcatheter mitral valve replacement, transluminal approach - prosthesis partial
			prosthesis synthetic	D	Transcatheter mitral valve replacement, transluminal approach - prosthesis synthetic								FALSE	FALSE										Transcatheter mitral valve replacement, transluminal approach - prosthesis synthetic
			prosthesis total	D	Transcatheter mitral valve replacement, transluminal approach - prosthesis total								FALSE	FALSE										Transcatheter mitral valve replacement, transluminal approach - prosthesis total
HDF.MK.AA	Repair of mitral valve							Elongation of chordae tendineae; Mitral cord lengthening, NOS; Repair of mitral valve annulus without graft	annuloplasty; commissurotomy; valvotomy with or without bypass; valvuloplasty				FALSE	FALSE									Repair of mitral valve	
			annuloplasty	I	Mitral valve annuloplasty								FALSE	FALSE										Repair of mitral valve via annuloplasty
			commissurotomy	I	Repair of mitral valve with commissurotomy								FALSE	FALSE										Repair of mitral valve via commissurotomy
			valvotomy with or without bypass	I	Repair of mitral valve via valvotomy with or without bypass								FALSE	FALSE										Repair of mitral valve - valvotomy with or without bypass
			valvuloplasty	I	Repair of mitral valve with valvuloplasty								FALSE	FALSE										Repair of mitral valve via valvuloplasty
		Elongation of chordae tendineae		I									FALSE	FALSE										
			annuloplasty	I	Elongation of chordae tendineae with annuloplasty								FALSE	FALSE										Elongation of chordae tendineae via annuloplasty
			commissurotomy	I	Elongation of chordae tendineae with commissurotomy								FALSE	FALSE										Elongation of chordae tendineae via commissurotomy
			valvotomy with or without bypass	I	Elongation of chordae tendineae via valvotomy with or without bypass								FALSE	FALSE										Elongation of chordae tendineae - valvotomy with or without bypass
			valvuloplasty	I	Elongation of chordae tendineae with valvuloplasty								FALSE	FALSE										Elongation of chordae tendineae via valvuloplasty
		Mitral cord lengthening, NOS		I									FALSE	FALSE										
			annuloplasty	I	Mitral cord lengthening with annuloplasty, NOS								FALSE	FALSE										Mitral cord lengthening via annuloplasty, NOS
			commissurotomy	I	Mitral cord lengthening with commissurotomy, NOS								FALSE	FALSE										Mitral cord lengthening via commissurotomy, NOS
			valvotomy with or without bypass	I	Mitral cord lengthening via valvotomy with or without bypass, NOS								FALSE	FALSE										Mitral cord lengthening - valvotomy with or without bypass, NOS
			valvuloplasty	I	Mitral cord lengthening with valvuloplasty, NOS								FALSE	FALSE										Mitral cord lengthening via valvuloplasty, NOS
		Repair of mitral valve annulus without graft		I									FALSE	FALSE										
			annuloplasty	D	Repair of mitral valve annulus without graft via annuloplasty								FALSE	FALSE										Repair of mitral valve annulus without graft via annuloplasty
			commissurotomy	D	Repair of mitral valve annulus without graft via commissurotomy								FALSE	FALSE										Repair of mitral valve annulus without graft via commissurotomy
			valvotomy with or without bypass	D	Repair of mitral valve annulus without graft - valvotomy with or without bypass	Repeated words: [without]							FALSE	FALSE										Repair of mitral valve annulus without graft - valvotomy with or without bypass
			valvuloplasty	D	Repair of mitral valve annulus without graft via valvuloplasty								FALSE	FALSE										Repair of mitral valve annulus without graft via valvuloplasty
HDG.DN.AA	Replacement of pulmonary valve							Pulmonary valve repair converted to pulmonary valvar replacement; Repair of pulmonary valve with replacement, NOS; Repair of pulmonary valve with prosthesis; Replacement of neo-pulmonary valve	bioprosthesis; heterograft;  homograft; prosthesis:; mechanical; partial; synthetic; total				FALSE	FALSE									Replacement of pulmonary valve	
			bioprosthesis	I	Replacement of pulmonary valve with bioprosthesis								FALSE	FALSE										Replacement of pulmonary valve - bioprosthesis
			heterograft	I	Replacement of pulmonary valve with heterograft								FALSE	FALSE										Replacement of pulmonary valve with heterograft
			homograft	I	Replacement of pulmonary valve with homograft								FALSE	FALSE										Replacement of pulmonary valve with homograft
			prosthesis mechanical	I	Replacement of pulmonary valve mechanical prosthesis 								FALSE	FALSE										Replacement of pulmonary valve - prosthesis mechanical
			prosthesis partial	I	Replacement of pulmonary valve with prosthesis, NOS								FALSE	FALSE										Replacement of pulmonary valve - prosthesis partial
			prosthesis synthetic	D	Replacement of pulmonary valve - prosthesis synthetic								FALSE	FALSE										Replacement of pulmonary valve - prosthesis synthetic
			prosthesis total	D	Replacement of pulmonary valve - prosthesis total								FALSE	FALSE										Replacement of pulmonary valve - prosthesis total
		Pulmonary valve repair converted to pulmonary valvar replacement		I									FALSE	FALSE										
			bioprosthesis	I	Pulmonary valve repair converted to pulmonary valvar replacement with bioprosthesis	Repeated words: [Pulmonary]							FALSE	FALSE										Pulmonary valve repair converted to pulmonary valvar replacement - bioprosthesis
			heterograft	I	Pulmonary valve repair converted to pulmonary valvar replacement with heterograft 	Repeated words: [Pulmonary]							FALSE	FALSE										Pulmonary valve repair converted to pulmonary valvar replacement with heterograft
			homograft	I	Pulmonary valve repair converted to pulmonary valvar replacement with homograft 	Repeated words: [Pulmonary]							FALSE	FALSE										Pulmonary valve repair converted to pulmonary valvar replacement with homograft
			prosthesis mechanical	I	Pulmonary valve repair converted to pulmonary valvar replacement with mechanical prosthesis 	Repeated words: [Pulmonary]							FALSE	FALSE										Pulmonary valve repair converted to pulmonary valvar replacement - prosthesis mechanical
			prosthesis partial	I	Pulmonary valve repair converted to pulmonary valvar replacement with prosthesis, NOS	Repeated words: [Pulmonary]							FALSE	FALSE										Pulmonary valve repair converted to pulmonary valvar replacement - prosthesis partial
			prosthesis synthetic	D	Pulmonary valve repair converted to pulmonary valvar replacement - prosthesis synthetic	Repeated words: [Pulmonary]							FALSE	FALSE										Pulmonary valve repair converted to pulmonary valvar replacement - prosthesis synthetic
			prosthesis total	D	Pulmonary valve repair converted to pulmonary valvar replacement - prosthesis total	Repeated words: [Pulmonary]							FALSE	FALSE										Pulmonary valve repair converted to pulmonary valvar replacement - prosthesis total
		Repair of pulmonary valve with replacement, NOS		I									FALSE	FALSE										
			bioprosthesis	D	Repair of pulmonary valve with replacement by bioprosthesis, NOS								FALSE	FALSE										Repair of pulmonary valve with replacement - bioprosthesis, NOS
			heterograft	D	Repair of pulmonary valve with replacement via heterograft, NOS								FALSE	FALSE										Repair of pulmonary valve with replacement via heterograft, NOS
			homograft	D	Repair of pulmonary valve with replacement via homograft, NOS								FALSE	FALSE										Repair of pulmonary valve with replacement via homograft, NOS
			prosthesis mechanical	D	Repair of pulmonary valve with replacement - prosthesis mechanical, NOS								FALSE	FALSE										Repair of pulmonary valve with replacement - prosthesis mechanical, NOS
			prosthesis partial	D	Repair of pulmonary valve with replacement - prosthesis partial, NOS								FALSE	FALSE										Repair of pulmonary valve with replacement - prosthesis partial, NOS
			prosthesis synthetic	D	Repair of pulmonary valve with replacement - prosthesis synthetic, NOS								FALSE	FALSE										Repair of pulmonary valve with replacement - prosthesis synthetic, NOS
			prosthesis total	D	Repair of pulmonary valve with replacement - prosthesis total, NOS								FALSE	FALSE										Repair of pulmonary valve with replacement - prosthesis total, NOS
		Repair of pulmonary valve with prosthesis		I									FALSE	FALSE										
			bioprosthesis	I	Repair of pulmonary valve with bioprosthesis								FALSE	FALSE										Repair of pulmonary valve with bioprosthesis
			heterograft	I	Repair of pulmonary valve with heterograft 								FALSE	FALSE										Repair of pulmonary valve with prosthesis via heterograft
			homograft	I	Repair of pulmonary valve with homograft  								FALSE	FALSE										Repair of pulmonary valve with prosthesis via homograft
			prosthesis mechanical	I	Repair of pulmonary valve with mechanical prosthesis								FALSE	FALSE										Repair of pulmonary valve with mechanical prosthesis
			prosthesis partial	I	Repair of pulmonary valve with prosthesis, NOS								FALSE	FALSE										Repair of pulmonary valve with partial prosthesis
			prosthesis synthetic	D	Repair of pulmonary valve with synthetic prosthesis								FALSE	FALSE										Repair of pulmonary valve with synthetic prosthesis
			prosthesis total	D	Repair of pulmonary valve with total prosthesis								FALSE	FALSE										Repair of pulmonary valve with total prosthesis
		Replacement of neo-pulmonary valve		I									FALSE	FALSE										
			bioprosthesis	I	Replacement of neo-pulmonary valve with bioprosthesis								FALSE	FALSE										Replacement of neo-pulmonary valve - bioprosthesis
			heterograft	I	Replacement of neo-pulmonary valve with heterograft								FALSE	FALSE										Replacement of neo-pulmonary valve with heterograft
			homograft	I	Replacement of neo-pulmonary valve with homograft								FALSE	FALSE										Replacement of neo-pulmonary valve with homograft
			prosthesis mechanical	I	Replacement of neo-pulmonary valve mechanical prosthesis 								FALSE	FALSE										Replacement of neo-pulmonary valve - prosthesis mechanical
			prosthesis partial	I	Replacement of neo-pulmonary valve with prosthesis, NOS								FALSE	FALSE										Replacement of neo-pulmonary valve - prosthesis partial
			prosthesis synthetic	D	Replacement of neo-pulmonary valve - prosthesis synthetic								FALSE	FALSE										Replacement of neo-pulmonary valve - prosthesis synthetic
			prosthesis total	D	Replacement of neo-pulmonary valve - prosthesis total								FALSE	FALSE										Replacement of neo-pulmonary valve - prosthesis total
HDG.DN.AF	Percutaneous transluminal pulmonary valve replacement							TPVI; Transcatheter pulmonary valve implantation; Transluminal pulmonary valvar insertion with stent mounted valve; Transluminal pulmonary valvar insertion with stent mounted valve including prestenting; Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit	bioprosthesis; homograft; prosthesis:; mechanical; partial; synthetic; total				FALSE	FALSE									Percutaneous transluminal pulmonary valve replacement	
			bioprosthesis	I	Percutaneous transluminal pulmonary valve replacement with bioprosthesis								FALSE	FALSE										Percutaneous transluminal pulmonary valve replacement - bioprosthesis
			homograft	I	Percutaneous transluminal pulmonary valve replacement with homograft								FALSE	FALSE										Percutaneous transluminal pulmonary valve replacement with homograft
			prosthesis mechanical	I	Percutaneous transluminal pulmonary valve replacement mechanical prosthesis 								FALSE	FALSE										Percutaneous transluminal pulmonary valve replacement - prosthesis mechanical
			prosthesis partial	I	Percutaneous transluminal pulmonary valve replacement with prosthesis, NOS								FALSE	FALSE										Percutaneous transluminal pulmonary valve replacement - prosthesis partial
			prosthesis synthetic	D	Percutaneous transluminal pulmonary valve replacement - prosthesis synthetic								FALSE	FALSE										Percutaneous transluminal pulmonary valve replacement - prosthesis synthetic
			prosthesis total	D	Percutaneous transluminal pulmonary valve replacement - prosthesis total								FALSE	FALSE										Percutaneous transluminal pulmonary valve replacement - prosthesis total
		TPVI		S									FALSE	FALSE										
			bioprosthesis	I	TPVI with bioprosthesis								FALSE	FALSE										TPVI - bioprosthesis
			homograft	I	TPVI with homograft								FALSE	FALSE										TPVI with homograft
			prosthesis mechanical	I	TPVI with mechanical prosthesis 								FALSE	FALSE										TPVI - prosthesis mechanical
			prosthesis partial	I	TPVI with prosthesis, NOS								FALSE	FALSE										TPVI - prosthesis partial
			prosthesis synthetic	D	TPVI - prosthesis synthetic								FALSE	FALSE										TPVI - prosthesis synthetic
			prosthesis total	D	TPVI - prosthesis total								FALSE	FALSE										TPVI - prosthesis total
		Transcatheter pulmonary valve implantation		S									FALSE	FALSE										
			bioprosthesis	I	Transcatheter pulmonary valve implantation with bioprosthesis								FALSE	FALSE										Transcatheter pulmonary valve implantation - bioprosthesis
			homograft	I	Transcatheter pulmonary valve implantation with homograft								FALSE	FALSE										Transcatheter pulmonary valve implantation with homograft
			prosthesis mechanical	I	Transcatheter pulmonary valve implantation with mechanical prosthesis								FALSE	FALSE										Transcatheter pulmonary valve implantation - prosthesis mechanical
			prosthesis partial	I	Transcatheter pulmonary valve implantation with prosthesis, NOS								FALSE	FALSE										Transcatheter pulmonary valve implantation - prosthesis partial
			prosthesis synthetic	D	Transcatheter pulmonary valve implantation - prosthesis synthetic								FALSE	FALSE										Transcatheter pulmonary valve implantation - prosthesis synthetic
			prosthesis total	D	Transcatheter pulmonary valve implantation - prosthesis total								FALSE	FALSE										Transcatheter pulmonary valve implantation - prosthesis total
		Transluminal pulmonary valvar insertion with stent mounted valve		I									FALSE	FALSE										
			bioprosthesis	D	Transluminal pulmonary valvar insertion with stent mounted valve - bioprosthesis								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve - bioprosthesis
			homograft	D	Transluminal pulmonary valvar insertion with stent mounted valve via homograft								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve via homograft
			prosthesis mechanical	D	Transluminal pulmonary valvar insertion with stent mounted valve - prosthesis mechanical								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve - prosthesis mechanical
			prosthesis partial	D	Transluminal pulmonary valvar insertion with stent mounted valve - prosthesis partial								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve - prosthesis partial
			prosthesis synthetic	D	Transluminal pulmonary valvar insertion with stent mounted valve - prosthesis synthetic								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve - prosthesis synthetic
			prosthesis total	D	Transluminal pulmonary valvar insertion with stent mounted valve - prosthesis total								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve - prosthesis total
		Transluminal pulmonary valvar insertion with stent mounted valve including prestenting		I									FALSE	FALSE										
			bioprosthesis	D	Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - bioprosthesis								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - bioprosthesis
			homograft	D	Transluminal pulmonary valvar insertion with stent mounted valve including prestenting via homograft								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve including prestenting via homograft
			prosthesis mechanical	D	Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - prosthesis mechanical								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - prosthesis mechanical
			prosthesis partial	D	Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - prosthesis partial								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - prosthesis partial
			prosthesis synthetic	D	Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - prosthesis synthetic								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - prosthesis synthetic
			prosthesis total	D	Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - prosthesis total								FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve including prestenting - prosthesis total
		Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit		I									FALSE	FALSE										
			bioprosthesis	D	Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - bioprosthesis	Repeated words: [with]							FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - bioprosthesis
			homograft	D	Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit via homograft	Repeated words: [with]							FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit via homograft
			prosthesis mechanical	D	Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - prosthesis mechanical	Repeated words: [with]							FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - prosthesis mechanical
			prosthesis partial	D	Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - prosthesis partial	Repeated words: [with]							FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - prosthesis partial
			prosthesis synthetic	D	Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - prosthesis synthetic	Repeated words: [with]							FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - prosthesis synthetic
			prosthesis total	D	Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - prosthesis total	Repeated words: [with]							FALSE	FALSE										Transluminal pulmonary valvar insertion with stent mounted valve with intentional rupture of previous conduit - prosthesis total
HDG.MK.AA	Repair of pulmonary valve								annuloplasty; commissurotomy; valvotomy with or without bypass; valvuloplasty 				FALSE	FALSE									Repair of pulmonary valve	
			annuloplasty	I	Repair of pulmonary valve with annuloplasty								FALSE	FALSE										Repair of pulmonary valve via annuloplasty
			commissurotomy	I	Repair of pulmonary valve with commissurotomy								FALSE	FALSE										Repair of pulmonary valve via commissurotomy
			valvotomy with or without bypass	I	Repair of pulmonary valve via valvotomy with or without bypass								FALSE	FALSE										Repair of pulmonary valve - valvotomy with or without bypass
			valvuloplasty 	I	Repair of pulmonary valve with valvuloplasty 								FALSE	FALSE										Repair of pulmonary valve - valvuloplasty 
HDH.DN.AA	Replacement of tricuspid valve							Repair of tricuspid valve with replacement, NOS; Repair of tricuspid valve with prosthesis; Tricuspid valve repair converted to tricuspid valvar replacement; Tricuspid valvar replacement	bioprosthesis; homograft; prosthesis:; mechanical; partial; synthetic; total				FALSE	FALSE									Replacement of tricuspid valve	
			bioprosthesis	I	Replacement of tricuspid valve with bioprosthesis								FALSE	FALSE										Replacement of tricuspid valve - bioprosthesis
			homograft	I	Replacement of tricuspid valve with homograft 								FALSE	FALSE										Replacement of tricuspid valve with homograft
			prosthesis mechanical	I	Replacement of tricuspid valve with mechanical prosthesis 								FALSE	FALSE										Replacement of tricuspid valve - prosthesis mechanical
			prosthesis partial	I	Replacement of tricuspid valve with prosthesis, NOS 								FALSE	FALSE										Replacement of tricuspid valve - prosthesis partial
			prosthesis synthetic	D	Replacement of tricuspid valve - prosthesis synthetic								FALSE	FALSE										Replacement of tricuspid valve - prosthesis synthetic
			prosthesis total	D	Replacement of tricuspid valve - prosthesis total								FALSE	FALSE										Replacement of tricuspid valve - prosthesis total
		Repair of tricuspid valve with replacement, NOS		I									FALSE	FALSE										
			bioprosthesis	I	Repair of tricuspid valve with replacement with bioprosthesis, NOS								FALSE	FALSE										Repair of tricuspid valve with replacement - bioprosthesis, NOS
			homograft	I	Repair of tricuspid valve with replacement with homograft, NOS								FALSE	FALSE										Repair of tricuspid valve with replacement via homograft, NOS
			prosthesis mechanical	I	Repair of tricuspid valve with replacement with mechanical prosthesis, NOS								FALSE	FALSE										Repair of tricuspid valve with replacement - prosthesis mechanical, NOS
			prosthesis partial	I	Repair of tricuspid valve with replacement with prosthesis, NOS								FALSE	FALSE										Repair of tricuspid valve with replacement - prosthesis partial, NOS
			prosthesis synthetic	D	Repair of tricuspid valve with replacement - prosthesis synthetic, NOS								FALSE	FALSE										Repair of tricuspid valve with replacement - prosthesis synthetic, NOS
